country,version,ip,prefixlength,state,orgsflat
*,ipv4,41.57.112.0,21,reserved,*
*,ipv4,41.57.124.0,22,reserved,*
*,ipv4,41.57.192.0,18,reserved,*
*,ipv4,41.67.80.0,21,reserved,*
*,ipv4,41.67.192.0,18,reserved,*
*,ipv4,41.72.0.0,18,reserved,*
*,ipv4,41.72.64.0,19,reserved,*
*,ipv4,41.72.224.0,19,reserved,*
*,ipv4,41.73.64.0,19,reserved,*
*,ipv4,41.74.32.0,20,reserved,*
*,ipv4,41.74.224.0,20,reserved,*
*,ipv4,41.75.224.0,19,reserved,*
*,ipv4,41.76.24.0,21,reserved,*
*,ipv4,41.76.48.0,21,reserved,*
*,ipv4,41.76.88.0,21,reserved,*
*,ipv4,41.76.120.0,21,reserved,*
*,ipv4,41.77.64.0,21,reserved,*
*,ipv4,41.77.120.0,21,reserved,*
*,ipv4,41.77.176.0,21,reserved,*
*,ipv4,41.77.192.0,21,reserved,*
*,ipv4,41.77.208.0,21,reserved,*
*,ipv4,41.77.224.0,21,reserved,*
*,ipv4,41.77.240.0,21,reserved,*
*,ipv4,41.78.0.0,22,reserved,*
*,ipv4,41.78.32.0,22,reserved,*
*,ipv4,41.78.40.0,22,reserved,*
*,ipv4,41.78.60.0,22,reserved,*
*,ipv4,41.78.96.0,22,reserved,*
*,ipv4,41.78.112.0,22,reserved,*
*,ipv4,41.78.164.0,22,reserved,*
*,ipv4,41.78.204.0,22,reserved,*
*,ipv4,41.79.40.0,22,reserved,*
*,ipv4,41.79.52.0,22,reserved,*
*,ipv4,41.79.128.0,22,reserved,*
*,ipv4,41.79.144.0,22,reserved,*
*,ipv4,41.79.164.0,22,reserved,*
*,ipv4,41.79.176.0,22,reserved,*
*,ipv4,41.86.64.0,19,reserved,*
*,ipv4,41.88.0.0,16,reserved,*
*,ipv4,41.92.136.0,21,reserved,*
*,ipv4,41.92.144.0,21,reserved,*
*,ipv4,41.92.160.0,20,reserved,*
*,ipv4,41.92.176.0,22,reserved,*
*,ipv4,41.92.188.0,22,reserved,*
*,ipv4,41.92.192.0,22,reserved,*
*,ipv4,41.92.204.0,22,reserved,*
*,ipv4,41.92.220.0,22,reserved,*
*,ipv4,41.92.225.0,24,reserved,*
*,ipv4,41.92.226.0,23,reserved,*
*,ipv4,41.92.228.0,22,reserved,*
*,ipv4,41.92.232.0,21,reserved,*
*,ipv4,41.92.240.0,21,reserved,*
*,ipv4,41.93.128.0,17,reserved,*
*,ipv4,41.138.0.0,19,reserved,*
*,ipv4,41.138.192.0,19,reserved,*
*,ipv4,41.154.0.0,16,reserved,*
*,ipv4,41.190.64.0,22,reserved,*
*,ipv4,41.190.72.0,21,reserved,*
*,ipv4,41.190.228.0,22,reserved,*
*,ipv4,41.191.160.0,19,reserved,*
*,ipv4,41.191.240.0,21,reserved,*
*,ipv4,41.191.252.0,22,reserved,*
*,ipv4,41.202.0.0,19,reserved,*
*,ipv4,41.202.128.0,19,reserved,*
*,ipv4,41.204.224.0,19,reserved,*
*,ipv4,41.205.224.0,19,reserved,*
*,ipv4,41.207.228.0,22,reserved,*
*,ipv4,41.209.192.0,18,reserved,*
*,ipv4,41.210.64.0,18,reserved,*
*,ipv4,41.217.128.0,20,reserved,*
*,ipv4,41.217.144.0,22,reserved,*
*,ipv4,41.217.152.0,21,reserved,*
*,ipv4,41.217.160.0,19,reserved,*
*,ipv4,41.220.48.0,20,reserved,*
*,ipv4,41.221.128.0,20,reserved,*
*,ipv4,41.222.24.0,21,reserved,*
*,ipv4,41.222.220.0,22,reserved,*
*,ipv4,41.222.240.0,22,reserved,*
*,ipv4,41.223.16.0,22,reserved,*
*,ipv4,41.223.88.0,21,reserved,*
*,ipv4,41.223.112.0,22,reserved,*
*,ipv4,41.223.168.0,22,reserved,*
*,ipv4,41.223.176.0,22,reserved,*
*,ipv4,41.242.8.0,21,reserved,*
*,ipv4,41.242.32.0,21,reserved,*
*,ipv4,41.242.84.0,22,reserved,*
*,ipv4,41.242.92.0,22,reserved,*
*,ipv4,41.242.120.0,22,reserved,*
*,ipv4,41.242.128.0,22,reserved,*
*,ipv4,41.242.136.0,22,reserved,*
*,ipv4,41.244.0.0,16,reserved,*
*,ipv4,41.245.128.0,17,reserved,*
*,ipv4,45.220.32.0,20,reserved,*
*,ipv4,45.220.50.0,23,reserved,*
*,ipv4,45.220.64.0,18,reserved,*
*,ipv4,45.221.20.0,22,reserved,*
