version,ip,prefixlength
ipv4,160.20.241.0,24
ipv4,160.20.245.0,24
ipv4,192.47.28.0,24
ipv6,2001:1000::,23
ipv6,2001:4e00::,23
ipv6,2001:6000::,19
ipv6,2001:c000::,18
ipv6,2003:4000::,18
ipv6,2003:8000::,17
ipv6,2004:0000::,14
ipv6,2008:0000::,13
ipv6,2010:0000::,12
ipv6,2020:0000::,11
ipv6,2040:0000::,10
ipv6,2080:0000::,9
ipv6,2100:0000::,8
ipv6,2200:0000::,7
ipv6,2410:0000::,12
ipv6,2420:0000::,11
ipv6,2440:0000::,10
ipv6,2480:0000::,9
ipv6,2500:0000::,8
ipv6,2610:0200::,23
ipv6,2610:0400::,22
ipv6,2610:0800::,21
ipv6,2610:1000::,20
ipv6,2610:2000::,19
ipv6,2610:4000::,18
ipv6,2610:8000::,17
ipv6,2611:0000::,16
ipv6,2612:0000::,15
ipv6,2614:0000::,14
ipv6,2618:0000::,13
ipv6,2620:0200::,23
ipv6,2620:0400::,22
ipv6,2620:0800::,21
ipv6,2620:1000::,20
ipv6,2620:2000::,19
ipv6,2620:4000::,18
ipv6,2620:8000::,17
ipv6,2621:0000::,16
ipv6,2622:0000::,15
ipv6,2624:0000::,14
ipv6,2628:0000::,13
ipv6,2640:0000::,10
ipv6,2680:0000::,9
ipv6,2700:0000::,8
ipv6,2810:0000::,12
ipv6,2820:0000::,11
ipv6,2840:0000::,10
ipv6,2880:0000::,9
ipv6,2900:0000::,8
ipv6,2a20:0000::,11
ipv6,2a40:0000::,10
ipv6,2a80:0000::,9
ipv6,2b00:0000::,8
ipv6,2c10:0000::,12
ipv6,2c20:0000::,11
ipv6,2c40:0000::,10
ipv6,2c80:0000::,9
ipv6,2d00:0000::,8
ipv6,2e00:0000::,7
ipv6,3000:0000::,4
